datetime_utc,distance_au,velocity_km_s,designation,name,diameter_km,potentially_hazardous
1900-01-01 00:37:00,0.0925955184938875,16.7397851056795,170903,,nan,False
1900-01-01 02:33:00,0.41497342785385,17.9182721991817,2005 OE3,,nan,False
1900-01-01 03:13:00,0.114291335467105,7.39720436946074,2006 XO4,,nan,False
1900-01-01 05:02:00,0.237367798476553,4.7812300435983,7088,Ishtar,1.298,False
1900-01-01 11:48:00,0.265302101578091,12.9742381440279,2014 YT34,,nan,False
